1 0 1488
2 1489 3273
3 4763 1212
4 5976 1788
5 7765 4527
6 12293 1085
7 13379 4232
8 17612 1835
9 19448 2157
10 21606 4968
11 26575 2594
12 29170 2612
13 31783 372
14 32156 1538
15 33695 1511
16 35207 2200
17 37408 1504
18 38913 1092
19 40006 2678
20 42685 1020
21 43706 340
22 44047 4588
23 48636 1295
24 49932 904
25 50837 3929
26 54767 1351
27 56119 3139
28 59259 2634
29 61894 547
30 62442 1300
31 63743 1249
32 64993 2509
33 67503 1208
34 68712 8154
35 76867 601
36 77469 1346
37 78816 7426
38 86243 3880
39 90124 3727
40 93852 3479
41 97332 7021
42 104354 4934
43 109289 1660
44 110950 1582
45 112533 2030
46 114564 1353
47 115918 517
48 116436 1366
49 117803 2308
50 120112 4503
51 124616 1549
52 126166 11567
53 137734 2064
54 139799 827
55 140627 929
56 141557 1070
57 142628 1835
58 144464 726
59 145191 11580
60 156772 1793
61 158566 2975
62 161542 3756
63 165299 960
64 166260 2220
65 168481 1239
66 169721 4773
67 174495 321
68 174817 7066
69 181884 1053
70 182938 1792
71 184731 2577
72 187309 1495
73 188805 1256
74 190062 6682
75 196745 3551
76 200297 1006
77 201304 3546
78 204851 1652
79 206504 3007
80 209512 1319
81 210832 508
82 211341 775
83 212117 4848
84 216966 1233
85 218200 6458
86 224659 2703
87 227363 454
88 227818 4253
89 232072 531
90 232604 1497
91 234102 2136
92 236239 2806
93 239046 3186
94 242233 1386
95 243620 1544
96 245165 1146
97 246312 1461
98 247774 2360
99 250135 601
100 250737 6598
101 257336 8176
102 265513 3672
103 269186 4995
104 274182 3469
105 277652 1885
106 279538 1000
107 280539 1419
108 281959 1166
109 283126 2107
110 285234 1307
111 286542 1746
112 288289 1810
113 290100 2187
114 292288 1812
115 294101 7665
116 301767 18315
117 320083 3871
118 323955 4403
119 328359 3350
120 331710 3559
121 335270 10451
122 345722 4073
123 349796 1227
124 351024 890
125 351915 1502
126 353418 969
127 354388 1977
128 356366 4438
129 360805 1642
130 362448 6244
131 368693 7650
132 376344 1993
133 378338 4009
134 382348 2671
135 385020 4769
136 389790 8756
137 398547 4959
138 403507 7987
139 411495 4797
140 416293 10009
141 426303 2184
142 428488 1609
143 430098 2081
144 432180 2435
145 434616 2901
146 437518 2579
147 440098 13314
148 453413 2482
149 455896 2217
150 458114 2510
151 460625 3067
152 463693 1538
153 465232 10113
154 475346 9591
155 484938 4715
156 489654 7013
157 496668 3649
158 500318 3422
159 503741 2860
160 506602 5889
161 512492 3097
162 515590 5840
163 521431 4786
164 526218 13658
165 539877 3838
166 543716 2977
167 546694 1593
168 548288 8092
169 556381 5685
170 562067 12480
171 574548 3829
172 578378 2180
173 580559 5481
174 586041 5849
175 591891 7935
176 599827 10150
177 609978 3592
178 613571 3394
179 616966 2190
180 619157 231
181 619389 3789
182 623179 2000
183 625180 1471
184 626652 7386
185 634039 1032
186 635072 958
187 636031 1617
188 637649 3284
189 640934 1839
190 642774 4037
191 646812 2176
192 648989 4027
193 653017 1397
194 654415 4934
195 659350 2614
196 661965 1765
197 663731 1988
198 665720 1497
199 667218 1045
200 668264 1101
201 669366 6705
202 676072 2164
203 678237 1947
204 680185 6222
205 686408 3623
206 690032 639
207 690672 1834
208 692507 3096
209 695604 1265
210 696870 2304
211 699175 1122
212 700298 3495
213 703794 4127
214 707922 4313
215 712236 6303
216 718540 3770
217 722311 715
218 723027 4292
219 727320 4096
220 731417 552
221 731970 1002
222 732973 1600
223 734574 3670
224 738245 3598
225 741844 4819
226 746664 2713
227 749378 2094
228 751473 3146
229 754620 817
230 755438 7196
231 762635 956
232 763592 3163
233 766756 2388
234 769145 2678
235 771824 3404
236 775229 2565
237 777795 4042
238 781838 2057
239 783896 1877
240 785774 4451
241 790226 1438
242 791665 4440
243 796106 3897
244 800004 5696
245 805701 6680
246 812382 4546
247 816929 1816
248 818746 1267
249 820014 2864
250 822879 6459
251 829339 2554
252 831894 3463
253 835358 2722
254 838081 2272
255 840354 10501
256 850856 767
257 851624 9131
258 860756 2220
259 862977 2536
260 865514 2406
261 867921 2373
262 870295 1350
263 871646 1139
264 872786 2961
265 875748 10173
266 885922 1292
267 887215 3984
268 891200 1132
269 892333 472
270 892806 10779
271 903586 1851
272 905438 3379
273 908818 3358
274 912177 3598
275 915776 9708
276 925485 2200
277 927686 1127
278 928814 796
279 929611 1058
280 930670 1848
281 932519 8513
282 941033 3471
283 944505 6355
284 950861 4830
285 955692 5626
286 961319 1722
287 963042 5376
288 968419 1707
289 970127 1715
290 971843 6801
291 978645 2800
292 981446 1512
293 982959 2082
294 985042 2590
295 987633 2593
296 990227 3776
297 994004 3691
298 997696 2010
299 999707 3232
300 1002940 2871
